codigo,deporte
ADE,Ala Delta
ACR,Acrobacia
ACU,Acuatlón
AER,Aeróbic
AIK,Aikido
AJE,Ajedrez
APL,Alpinismo
AMR,Artes Marciales
ATL,Atletismo
AUT,Automovilismo
BAL,Baloncesto
BLM,Balonmano
BIL,Billar
BLA,Billarda
BIR,Birlos
BOB,Bobsleigh
BOD,Bodyboard
BOX,Boxeo
BAD,Bádminton
BEI,Béisbol
CAZ,Caza
CIC,Ciclismo
CBF,Colombofilia
COR,Corfebol
CRI,Críquet
CRO,Cróquet
CUA,Cuadratlón
CUR,Curling
DZA,Danza Deportiva
DAR,Dardos
ESG,Esgrima
ESP,Espeleología
ESQ,Esquí
EQT,Equitación
FUT,Fútbol
FPY,Fútbol Playa
FSA,Fútbol Sala
GLF,Golf
GIM,Gimnasia
GIR,Gimnasia Rítmica
HAL,Halterofilia (Pesas)
HIP,Hípica
HPA,Hóckey a Patínes
HHB,Hóckey sobre Hierba
HHI,Hóckey sobre Hielo
HOC,Hóckey
HUR,Hurling
JUD,Judo
KAR,Karate
KEN,Kendo
KIC,Kickboxing
KAR,Karting
KFU,Kung Fu
LAC,Lacrosse
LUC,Lucha
LTG,Lucha Tradicional Gallega
LEX,Luciadas Extremas
SUM,Sumerjo
MOT,Motociclismo
MNA,Motonáutica
MTA,Mhuai Thay
NAT,Natación
OCT,Octopush
ORI,Orientación
PAR,Paracaidismo
PTE,Parapente
PAR,Parkour
PAT,Patinaje
PBL,Paintball
PEL,Pelota
PVL,Pelota Valenciana
PVC,Pelota Vasca
PEN,Pentatlón Moderno
PED,Pesca Deportiva
PET,Petanca
PIR,Piragüismo
POL,Polo
REM,Remo
RUG,Rugby
STR,Salto de Trampolín
