codigo,nacionalidad
AFG,Afgana
ALB,Albanesa
ALE,Alemana
AVO,Alto volteÑa
AND,Andorrana
ANG,AngoleÑa
AGL,Argelina
ARG,Argentina
AUL,Australiana
AUT,Austriaca
BHM,Bahamesa
BHR,Bahreina
BNG,Bangladesha
BRB,Barbadesa
BLG,Belga
BLC,BeliceÑa
BRM,Bermudesa
BIR,Birmana
BOL,Boliviana
BTW,Botswanesa
BRA,BrasileÑa
BUL,Bulgara
BUR,Burundesa
BUT,Butana
CBY,Camboyana
CAM,Camerunesa
CAN,Canadiense
CAF,Centroafricana
CHA,ChadeÑa
CHE,Checoslovaca
CHI,Chilena
CHN,China
TWN,China
CHP,Chipriota
COL,Colombiana
CNG,CongoleÑa
CST,Costarricense
CUB,Cubana
DAH,Dahoneya
DAN,Danes
DOM,Dominicana
ECU,Ecuatoriana
EGI,Egipcia
EMI,Emirata
ESC,Escosesa
ESL,Eslovaca
ESP,EspaÑola
EST,Estona
ETI,Etiope
FIJ,Fijena
FIL,Filipina
FIN,Finlandesa
FRA,Francesa
GBI,Gabiana
GBO,Gabona
GAL,Galesa
GHA,Ghanesa
GRA,GranadeÑa
GRI,Griega
GUA,Guatemalteca
GUI,Guinesa
GNE,Guinesa Ecuatoriana
GUA,Guyanesa
HAI,Haitiana
HOL,Holandesa
HON,HondureÑa
HUN,Hungara
IND,India
IDN,Indonesa
ING,Inglesa
IRK,Iraki
IRN,Irani
IRL,Irlandesa
ISL,Islandesa
ISR,Israeli
ITA,Italiana
JAM,Jamaiquina
JAP,Japonesa
JOR,Jordana
KAT,Katensa
KEN,Keniana
KUW,Kuwaiti
LAO,Laosiana
LEO,Leonesa
LES,Lesothensa
LET,Letonesa
LIB,Libanesa
LBE,LibeÑa
LBA,Liberiana
LIE,Liechtenstein
LIT,Lituana
LUX,Luxemburgo
MDG,Madagascar
MAL,Malaca
MLW,Malawi
MLD,Maldivas
MLI,Mali
MTS,Maltesa
MRF,Marfilesa
MRQ,Marroqui
MCO,Mauricio
MAU,Mauritana
MEX,Mexicana
MON,Monaco
MNG,Mongolesa
NAU,Nauru
NZL,Neozelandesa
NEP,Nepalesa
NIC,Nicaraguense
NIG,Nigerana
NGR,Nigeriana
NRC,Norcoreana
NIR,Norirlandesa
NAM,Norteamericana
NRU,Noruega
OMA,Omana
PAK,Pakistani
PAN,PanameÑa
PAR,Paraguaya
PER,Peruana
POL,Polaca
PRR,PortoriqueÑa
POR,Portuguesa
RHO,Rhodesiana
RUA,Ruanda
RUM,Rumana
RUS,Rusa
SAL,SalvadoreÑa
SMO,Samoa Occidental
SNM,San marino
SAU,Saudi
SEN,Senegalesa
SIK,Sikkim
SIN,Singapur
SIR,Siria
SOM,Somalia
SOV,Sovietica
SLK,Sri Lanka
SZL,Suazilandesa
SAF,Sudafricana
SUD,Sudanesa
SUE,Sueca
SZA,Suiza
SRC,Surcoreana
TAI,Tailandesa
TNZ,Tanzana
TGA,Tonga
TGO,Tongo
TYT,Trinidad y Tobago
TUN,Tunecina
TUR,Turca
UGA,Ugandesa
URU,Uruguaya
VAT,Vaticano
VEN,Venezolana
VIE,Vietnamita
YRA,Yemen Rep Arabe
YRD,Yemen Rep Dem
YUG,Yugoslava
ZAI,Zaire
